day,Result
1,"close    9.968917
dtype: float64"
2,"close    9.933011
dtype: float64"
3,"close    9.838061
dtype: float64"
4,"close    9.752149
dtype: float64"
5,"close    9.799334
dtype: float64"
6,"close    9.881239
dtype: float64"
7,"close    9.804748
dtype: float64"
8,"close    9.793305
dtype: float64"
9,"close    9.833718
dtype: float64"
10,"close    9.862929
dtype: float64"
11,"close    9.724863
dtype: float64"
12,"close    9.709523
dtype: float64"
13,"close    9.625768
dtype: float64"
14,"close    9.559391
dtype: float64"
15,"close    9.37136
dtype: float64"
16,"close    9.299863
dtype: float64"
17,"close    9.574407
dtype: float64"
18,"close    9.497625
dtype: float64"
19,"close    9.376127
dtype: float64"
20,"close    9.299081
dtype: float64"
21,"close    9.341407
dtype: float64"
22,"close    9.203995
dtype: float64"
23,"close    9.271228
dtype: float64"
24,"close    9.073166
dtype: float64"
25,"close    8.916483
dtype: float64"
26,"close    8.916953
dtype: float64"
27,"close    8.894166
dtype: float64"
28,"close    8.685668
dtype: float64"
29,"close    8.760497
dtype: float64"
30,"close    8.705487
dtype: float64"
31,"close    8.686527
dtype: float64"
